arm,neg_target,pick,normal_protocol,calibration_regime,guarantee_scope,alpha,n_calibration,n_model_seeds,split_repeats_per_model,tau_mean,tau_std,tau_ci95_low,tau_ci95_high,normal_FAR_mean,normal_FAR_std,normal_FAR_ci95_low,normal_FAR_ci95_high,mixed_coverage_mean,mixed_coverage_std,mixed_coverage_ci95_low,mixed_coverage_ci95_high,mixed_bitF1_all_mean,mixed_bitF1_all_std,mixed_bitF1_all_ci95_low,mixed_bitF1_all_ci95_high,mixed_bitF1_accepted_mean,mixed_bitF1_accepted_std,mixed_bitF1_accepted_ci95_low,mixed_bitF1_accepted_ci95_high,mixed_FAR_mean,mixed_FAR_std,mixed_FAR_ci95_low,mixed_FAR_ci95_high,normal_FAR_minus_alpha
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.02,500,5,50,0.8676959505081177,0.09624237285358377,0.7809051899909972,0.9298434498310089,0.019776,0.0007686871925562452,0.019191999999999997,0.020360000000000003,0.21900879999999998,0.1428625806993871,0.11530453333333332,0.3408306666666666,0.14554085312816484,0.08739377326601155,0.08183689837660973,0.2128541275033246,0.4948347806176283,0.08831931672887373,0.4259956104651289,0.5636739507701275,0.0001962854055140868,0.0002859974323686947,3.1164392168689844e-05,0.00044766141395863177,-0.00022400000000000198
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.05,100,5,50,0.8289519011974334,0.10227529211804055,0.7383296873569489,0.9009802913665773,0.04941333333333334,0.004266712962711792,0.04614222222222222,0.05268444444444444,0.28541653333333333,0.16684187590943042,0.16022533333333333,0.41060773333333334,0.1828810095461334,0.09694842304279852,0.10972376415217167,0.25987090648582406,0.49851333094695904,0.07485003518643649,0.4401103662044277,0.5569162956894904,0.0004007137651109604,0.00044935723702913493,7.474427605619643e-05,0.0007692075699313882,-0.0005866666666666659
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.05,200,5,50,0.8279606604576111,0.10112128326784035,0.7435306189060211,0.9006829252243043,0.049905,0.001632042432046421,0.048585,0.051095,0.28658533333333336,0.16400377852286752,0.1625432,0.4106274666666668,0.18401686998691627,0.0957060933775614,0.11127533731408293,0.25853546957858564,0.4980697873418056,0.07496895831811641,0.4396867071333951,0.5564528675502162,0.0003866395234863907,0.00041979354265989083,7.81623061650205e-05,0.0007218577998944432,-9.50000000000048e-05
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.05,500,5,50,0.8284222657680512,0.10040586951723843,0.7398393456935883,0.9009480545520783,0.049832,0.0009492734063482449,0.049088,0.050575999999999996,0.28563706666666666,0.1616339552016634,0.16307893333333334,0.41191759999999994,0.18375742289023375,0.0946727787018985,0.1116438316116866,0.256912824380313,0.49779888784589377,0.07530618718106274,0.4392443321633735,0.5563534435284142,0.000375631455930031,0.0004052755453554326,7.871522280027143e-05,0.0006980321194299934,-0.00016800000000000148
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.1,100,5,50,0.777000034570694,0.11636530859434618,0.6797433397769927,0.8639030632972717,0.09953333333333333,0.005241029961918589,0.09511111111111112,0.10328,0.37797573333333334,0.20171470969642027,0.22474853333333336,0.5312029333333333,0.2323808063496815,0.1107663624813171,0.14565657289700973,0.31624643093363336,0.4980140224548175,0.06063449979945291,0.45049144420992615,0.5434925329246709,0.0008471185503531127,0.0008628231768635075,0.00020387544296162258,0.0014931262409208575,-0.0004666666666666708
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.1,200,5,50,0.7753462700843812,0.118158991446745,0.6770102353096009,0.8625406205654145,0.100285,0.004003615553471641,0.096895,0.10345000000000001,0.38225386666666666,0.2057946022779887,0.22564213333333333,0.5388656000000001,0.23450988919258622,0.11251286654136379,0.14728395161068825,0.3198648862395558,0.49679997612013027,0.06043081568881479,0.4492235170150253,0.5426510462178463,0.000844353967176858,0.0008611059186343742,0.00020503154138078365,0.001485586468621981,0.0002849999999999936
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.1,500,5,50,0.7756968922615052,0.11645589138822494,0.6795012271404267,0.8611387426853181,0.09952799999999999,0.0011165661646315459,0.098688,0.100392,0.38125946666666666,0.2027810587924271,0.22634346666666666,0.5361754666666667,0.23435339935903535,0.11110968978873455,0.14756375995149842,0.31891496043314727,0.4966042176073267,0.06032459957524549,0.44898981931041765,0.542331409064347,0.0008030360149790144,0.0008049553053817497,0.00020141245067732287,0.0014046595792807058,-0.0004720000000000141
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.005,200,5,50,0.8788020987510681,0.07270690758734678,0.8141093304157258,0.9287897222042083,0.005220000000000001,0.0004803644449790179,0.004935,0.005640000000000001,0.18084933333333333,0.11167160619124869,0.10157039999999999,0.274321639999994,0.1272339666278745,0.07012389336875441,0.07725304858006107,0.18694751258646866,0.5273698614228598,0.03528345471643525,0.49639899369960816,0.549273618606736,0.00023765362286058957,0.0003068203367068997,2.493151373495187e-05,0.0005079795923496444,0.00022000000000000058
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.005,500,5,50,0.879021509885788,0.07354919827478401,0.8144216861724853,0.9297284438610076,0.00392,0.0004242640687119286,0.0036479999999999998,0.0043040000000000005,0.1775384,0.10976676041457684,0.10055706666666668,0.27044853333333335,0.126520758732122,0.07003872877976806,0.07663367627978795,0.18584988470440064,0.5259104435331217,0.03982062858802658,0.49063564157994843,0.5496747102858166,0.000205986579205308,0.0002870716857293303,2.26695820452889e-05,0.00046620925381386823,-0.0010800000000000002
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.01,100,5,50,0.8619601097106934,0.08173826109820698,0.7924445731639861,0.9193594715595246,0.010106666666666667,0.0015470721052250383,0.008960000000000001,0.011408888888888889,0.21298906666666667,0.13413062603430864,0.11397493333333335,0.3251773333333333,0.14457250833679855,0.07989706551221068,0.08573918042176663,0.21096667201039826,0.521489134468818,0.0369318450081471,0.48851258061702135,0.5439703945694184,0.0003637688808464651,0.000442743471569573,3.5989846439970846e-05,0.000715825982055342,0.00010666666666666637
