tag,arm,cell_layout,grid,n_groups,neg_target,seed,real_bitF1,normal_FAR,best_ep,bitF1_farq01,bitF1_farq05,bitF1_farq10
fcmpm_cb_g4_grid16_neg0.10,fcm_pm,checkerboard,16,4,0.1,2,0.688675996046083,0.008,23,0.6924388154760837,0.7117680111014787,0.7199171498089746
fcmpm_cb_g4_grid16_neg0.20,fcm_pm,checkerboard,16,4,0.2,0,0.7598473352343701,0.357,25,0.7254792821913033,0.7399991484136738,0.7434099799973487
fcmpm_cb_g4_grid16_neg0.20,fcm_pm,checkerboard,16,4,0.2,1,0.7398847592774659,0.214,24,0.675804751202513,0.7048667036906044,0.7221633344183859
fcmpm_cb_g4_grid16_neg0.20,fcm_pm,checkerboard,16,4,0.2,2,0.7427202117727317,0.023,23,0.7389491874217634,0.7501666860437396,0.7536450705630813
fcmpm_cb_g4_grid20_neg0.05,fcm_pm,checkerboard,20,4,0.05,0,0.6885613990415176,0.469,23,0.5619098030008834,0.6040991299435864,0.6257902472350859
fcmpm_cb_g4_grid20_neg0.05,fcm_pm,checkerboard,20,4,0.05,1,0.7013347476959986,0.356,25,0.6057369336324289,0.6441415048622322,0.661805245615697
fcmpm_cb_g4_grid20_neg0.05,fcm_pm,checkerboard,20,4,0.05,2,0.6890195719350992,0.003,24,0.7183980740727511,0.7439400344767287,0.750973139521847
fcmpm_cb_g4_grid20_neg0.10,fcm_pm,checkerboard,20,4,0.1,0,0.7216804039122154,0.414,23,0.6158653644998092,0.6467521857340117,0.6662237550017266
fcmpm_cb_g4_grid20_neg0.10,fcm_pm,checkerboard,20,4,0.1,1,0.708694869284996,0.032,24,0.697818702781058,0.7246404132422168,0.740582788607299
fcmpm_cb_g4_grid20_neg0.10,fcm_pm,checkerboard,20,4,0.1,2,0.66654780578803,0.013,16,0.6648382892606735,0.6797089963505152,0.6861815556352449
fcmpm_cb_g4_grid20_neg0.20,fcm_pm,checkerboard,20,4,0.2,0,0.7325579843939471,0.58,20,0.6010953706952827,0.6339046286706808,0.6518139672483836
fcmpm_cb_g4_grid20_neg0.20,fcm_pm,checkerboard,20,4,0.2,1,0.7216951779877263,0.356,24,0.6426983944617198,0.6795053779425092,0.6977652026746185
fcmpm_cb_g4_grid20_neg0.20,fcm_pm,checkerboard,20,4,0.2,2,0.7290284147850477,0.1,24,0.6882667734065556,0.7195767253669455,0.7291572568758101
fcmpm_rand_g3_grid9_neg0.10,fcm_pm,random,9,3,0.1,0,0.7002310374755106,0.548,13,0.594068345937906,0.6275481314686011,0.6449148653636764
fcmpm_rand_g3_grid9_neg0.10,fcm_pm,random,9,3,0.1,1,0.766036950601798,0.145,23,0.7300842291902034,0.7547578286028432,0.7618116855702365
fcmpm_rand_g3_grid9_neg0.10,fcm_pm,random,9,3,0.1,2,0.7764001657350641,0.014,25,0.7744954058464542,0.7935681001961647,0.8001285941261059
fcmpm_rand_g3_grid9_neg0.20,fcm_pm,random,9,3,0.2,0,0.7834136235811027,0.648,24,0.6884423953466524,0.7204648920946527,0.7350226265807237
fcmpm_rand_g3_grid9_neg0.20,fcm_pm,random,9,3,0.2,1,0.7696702553409236,0.437,25,0.6899341804709684,0.7196779648663137,0.7325867535443821
fcmpm_rand_g3_grid9_neg0.20,fcm_pm,random,9,3,0.2,2,0.7935885966866233,0.085,25,0.7758453007055636,0.7877703153904752,0.7952193549326737
