run_tag,backbone_name,timm_name,family,params_M,img_size,train_time_min,n_train,n_val,best_epoch,best_val_acc,ls,cutmix_p,cell_id,macro_f1,top1_11,bF1_4def,ni_far_pct,ood_far_pct,total_far_pct,status,eval_path
iter88A_efformerv2_l,EfficientFormerV2-L,efficientformerv2_l.snap_dist_in1k,EfficientFormer,25.75,224.0,5.42481294075648,651.0,163.0,7.0,0.9877300613496932,0.2,0.25,,,,,,,,EVAL_FAIL_NaN,
iter88B_tinyvit_21m,TinyViT-21M-384,tiny_vit_21m_384.dist_in22k_ft_in1k,TinyViT,20.67,384.0,2.777231454849243,651.0,163.0,1.0,0.9815950920245399,0.2,0.25,T0__I3,0.65892449342164,0.2418831168831169,0.838124558835744,100.0,100.0,100.0,DONE,outputs/iter88B_tinyvit_21m/T7_iter88B_tinyvit_21m_260512_122844/eval_v15direct_n200/stage1_260512_123144
iter88B_tinyvit_21m,TinyViT-21M-384,tiny_vit_21m_384.dist_in22k_ft_in1k,TinyViT,20.67,384.0,2.777231454849243,651.0,163.0,1.0,0.9815950920245399,0.2,0.25,T0__I7,0.6466691219015712,0.2327922077922078,0.8294067996472373,100.0,100.0,100.0,DONE,outputs/iter88B_tinyvit_21m/T7_iter88B_tinyvit_21m_260512_122844/eval_v15direct_n200/stage1_260512_123144
iter88B_tinyvit_21m,TinyViT-21M-384,tiny_vit_21m_384.dist_in22k_ft_in1k,TinyViT,20.67,384.0,2.777231454849243,651.0,163.0,1.0,0.9815950920245399,0.2,0.25,T0__I10,0.5203020904649193,0.23116883116883116,0.6906329515901841,0.0,0.0,0.0,DONE,outputs/iter88B_tinyvit_21m/T7_iter88B_tinyvit_21m_260512_122844/eval_v15direct_n200/stage1_260512_123144
iter88B_tinyvit_21m,TinyViT-21M-384,tiny_vit_21m_384.dist_in22k_ft_in1k,TinyViT,20.67,384.0,2.777231454849243,651.0,163.0,1.0,0.9815950920245399,0.2,0.25,T0__I13,0.5994044675654543,0.2392857142857143,0.7913966080896453,40.0,71.875,64.28571428571429,DONE,outputs/iter88B_tinyvit_21m/T7_iter88B_tinyvit_21m_260512_122844/eval_v15direct_n200/stage1_260512_123144
iter88C_mbnetv4_l,MobileNetV4-Conv-L,mobilenetv4_conv_large.e600_r384_in1k,MobileNet,,384.0,,,,,,,,,,,,,,,FAIL,
iter88D_effv2_l,EfficientNetV2-L,tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet,117.75,384.0,7.394916407267252,651.0,163.0,4.0,0.9754601226993865,0.2,0.25,T0__I3,0.661197838792945,0.3185064935064935,0.8547545480723397,88.0,100.0,97.14285714285714,DONE,outputs/iter88D_effv2_l/T7_iter88D_effv2_l_260512_123254/eval_v15direct_n200/stage1_260512_124036
iter88D_effv2_l,EfficientNetV2-L,tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet,117.75,384.0,7.394916407267252,651.0,163.0,4.0,0.9754601226993865,0.2,0.25,T0__I7,0.6569566543260705,0.31103896103896106,0.8478035560462933,88.0,100.0,97.14285714285714,DONE,outputs/iter88D_effv2_l/T7_iter88D_effv2_l_260512_123254/eval_v15direct_n200/stage1_260512_124036
iter88D_effv2_l,EfficientNetV2-L,tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet,117.75,384.0,7.394916407267252,651.0,163.0,4.0,0.9754601226993865,0.2,0.25,T0__I10,0.5775757961338454,0.3038961038961039,0.8010818537665212,72.5,81.09375,79.04761904761905,DONE,outputs/iter88D_effv2_l/T7_iter88D_effv2_l_260512_123254/eval_v15direct_n200/stage1_260512_124036
iter88D_effv2_l,EfficientNetV2-L,tf_efficientnetv2_l.in21k_ft_in1k,EfficientNet,117.75,384.0,7.394916407267252,651.0,163.0,4.0,0.9754601226993865,0.2,0.25,T0__I13,0.5589256318368718,0.27954545454545454,0.7695497900528564,75.0,90.9375,87.14285714285714,DONE,outputs/iter88D_effv2_l/T7_iter88D_effv2_l_260512_123254/eval_v15direct_n200/stage1_260512_124036
